model,rmse,rmse_std,n_estimators,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,rank_test_score,timestamp,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,depth,l2_leaf_reg,bagging_temperature,random_strength,iterations
CatBoost,1090.2810173246664,32.692797880447145,,0.0261914967990452,,,,,,,,1.0,2025-08-14T10:34:48,,,,,,,,5.0,4.349587322750196,0.044165437710100175,1.176527513939862,1400.0
CatBoost,1091.2811305477187,32.499736228751274,,0.022173222058500863,,,,,,,,2.0,2025-08-14T10:34:48,,,,,,,,4.0,5.360619544720757,0.9321182824836124,1.1302663671784179,2347.0
CatBoost,1095.4244086946085,32.38132026632606,,0.03358856550089063,,,,,,,,3.0,2025-08-14T10:34:48,,,,,,,,4.0,5.924205994811673,0.8388980864459341,0.2493253624065337,1824.0
CatBoost,1096.5466337987946,32.76343017453659,,0.03783952733037355,,,,,,,,4.0,2025-08-14T10:34:48,,,,,,,,4.0,3.0731206186351185,0.08534966807864386,1.9937485036918947,1560.0
CatBoost,1099.1285608244725,33.39718635472424,,0.029935840151015178,,,,,,,,5.0,2025-08-14T10:34:48,,,,,,,,4.0,4.015760547331941,0.24534910968132095,0.7785912280839531,2319.0
CatBoost,1100.0402778667585,32.554431966659514,,0.0367227288887389,,,,,,,,6.0,2025-08-14T10:34:48,,,,,,,,4.0,5.174651183996495,0.9844021807035521,1.0513803646053717,2132.0
CatBoost,1100.9651112746335,28.474998289087093,,0.021319499439017658,,,,,,,,7.0,2025-08-14T10:34:48,,,,,,,,8.0,1.6844281503440364,0.9000186418481051,1.7477801551250305,1167.0
LightGBM,1102.008053804248,35.57741687522219,1399.0,0.026092223724727633,117.0,162.0,0.7502331810559776,0.6375927759363476,2.0,0.5376209082361595,0.3937832009696783,1.0,2025-08-14T09:54:25,,,,,,,,,,,,
LightGBM,1102.2532953066152,34.81527137752316,1219.0,0.026177450149998723,126.0,148.0,0.695824756266789,0.6579579488364892,1.0,0.7885203632884806,0.2904663258138005,2.0,2025-08-14T09:54:25,,,,,,,,,,,,
CatBoost,1104.1864193373349,31.3478701779034,,0.021560230821288325,,,,,,,,8.0,2025-08-14T10:34:48,,,,,,,,5.0,1.4275426542723404,0.20788625514602732,0.05306440774763943,2404.0
CatBoost,1106.409502025611,33.76152047875837,,0.061049809845908895,,,,,,,,9.0,2025-08-14T10:34:48,,,,,,,,5.0,5.1062865233600645,0.11063173695520723,1.6929045834690364,1215.0
CatBoost,1107.7891488064772,34.12102510702339,,0.07980413272873757,,,,,,,,10.0,2025-08-14T10:34:48,,,,,,,,4.0,3.0946272475227397,0.9148459010681,0.7247877982332662,1062.0
